# Inventory of the page snapshots the published measurements were taken over.
# taken_at      2026-08-10
# pages         3062
# messages      61240
# id_range      260790..321830
# contiguity    no gaps
# digest        sha256:10266cbf775357b86577c9e3acd3494c86c670149511a5e7abbf236044840405
# The digest is over the sorted per-page digests. It answers 'is this the same
# corpus'. Completeness is the contiguity line; the right window is id_range.
page,id_lo,id_hi,messages,bytes,sha256
page-000261570-000261589.html,261570,261589,20,103744,006300cc5ae3c4c72d110862ff68d8d232106acd6a357001e649537ddf4daa8e
page-000261590-000261609.html,261590,261609,20,110699,eda988bb82b787f8dc388325f21a2a24e3c4e0c56753b5a0e38d3df35d6f8dd5
page-000261610-000261629.html,261610,261629,20,107208,2d15115b2044c1a1905f0aa6499baf1139b6bd815d607c69e3d064d4e03808e4
page-000261630-000261649.html,261630,261649,20,105455,df966de8a703ddfb0db979f9ffc81b806e8177324abbd1c77b933df4ac0e9cc4
page-000261650-000261669.html,261650,261669,20,101554,085013f515fd97f554ea996d9742048bdb4d55a140e53b2c1178bb01b252b6ed
page-000261670-000261689.html,261670,261689,20,101934,7604e2c0aee013f151cc0806ce35b30e53c143149f390c8b74ea4474482ec720
page-000261690-000261709.html,261690,261709,20,102773,0c8a8eeff0b22c06dadfa19d36e72f1260b5b8f1f8fee12bb366a88aab6eaaf3
page-000261710-000261729.html,261710,261729,20,104582,e4df58d3040cc79a4ed8e002b8d283977461ea7a90fb8b3fc207c14fba1ff7ae
page-000261730-000261749.html,261730,261749,20,103841,1e6725964de00e53e210f816f0811265233aa89767d4f67c4a63010d97a76a99
page-000261750-000261769.html,261750,261769,20,107324,3e9144489a434dfd357dc46316622f8112323ba5e059de572a9ddc66355395e0
page-000261770-000261789.html,261770,261789,20,103686,00a1737a91ea1b33baadecf11edbf36f2d8392c058c309324d27c6d176e41ca0
page-000261790-000261809.html,261790,261809,20,107349,22933cd70c645905c76484d428d48899af2e29bc508e78c1bd9b3abb728d8ee9
page-000261810-000261829.html,261810,261829,20,105434,089da69f8c00add462ff6b09fca65134facf2b56e217c5ad8928aec4af644ee6
page-000261830-000261849.html,261830,261849,20,108921,34efaf53686682fba25220d8c9e3b1c6cbc1a4087832004ead8c53d6c8fa6a66
page-000261850-000261869.html,261850,261869,20,108685,459db1e08b454bf410f83e3c47899ecab465981c019c52cec3d06dc36a98c699
page-000261870-000261889.html,261870,261889,20,106249,760360a7ba95e13e223f3670dd7c58e0f4157f7692c85392dd6fb3da6baaf840
